epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0832,0.95128,2.76601,1.30973,1,0.16831,0.8301,0.65586,0.65777,3.1482,1.18013,0.00023338,0.00023338,0.00023338
2,189.328,0.89095,1.78303,1.2609,1,0.31528,0.93708,0.72086,0.54909,3.13277,1.1265,0.000451524,0.000451524,0.000451524
3,285.238,1.00561,1.65604,1.30209,1,0.93534,0.94553,0.66872,0.8115,2.37341,1.39859,0.000636661,0.000636661,0.000636661
4,383.713,0.99157,1.43822,1.27942,0.95884,0.79412,0.93598,0.69598,0.89336,2.37423,1.48747,0.000788791,0.000788791,0.000788791
5,481.196,1.00769,1.42655,1.26358,0.92798,0.88235,0.95977,0.6871,0.91098,2.49881,1.5659,0.000907915,0.000907915,0.000907915
6,579.217,0.93628,1.95276,1.3377,0.96272,0.75973,0.9239,0.67014,0.7029,2.55622,1.29402,0.000994032,0.000994032,0.000994032
7,676.248,0.9174,1.66094,1.33066,1,0.8476,0.95231,0.58864,0.98967,2.09194,1.53484,0.00100687,0.00100687,0.00100687
8,772.998,0.90211,1.53531,1.29572,0.96631,0.8437,0.94322,0.67209,0.74866,1.74224,1.34142,0.000896846,0.000896846,0.000896846
9,871.318,0.90339,1.41657,1.26788,0.99795,0.94118,0.99072,0.71194,0.82477,1.43571,1.34969,0.000786824,0.000786824,0.000786824
10,968.743,0.86696,1.32943,1.26179,1,0.96682,0.99244,0.78308,0.64612,1.28888,1.15072,0.000676802,0.000676802,0.000676802
11,1067.38,0.85429,1.25723,1.23521,0.9933,1,0.995,0.73072,0.78754,1.26281,1.23336,0.00056678,0.00056678,0.00056678
12,1166.86,0.83096,1.23383,1.20716,0.98962,1,0.995,0.74213,0.83548,1.28746,1.2173,0.000456758,0.000456758,0.000456758
13,1258.35,0.80347,1.16947,1.19066,1,0.96752,0.99389,0.76035,0.72854,1.16735,1.20284,0.000346736,0.000346736,0.000346736
14,1344.44,0.74375,1.091,1.14182,0.9704,1,0.99443,0.79034,0.61919,1.0834,1.14435,0.000236714,0.000236714,0.000236714
15,1431.47,0.73345,1.10003,1.12151,0.99346,1,0.995,0.81212,0.63747,1.03043,1.15106,0.000126692,0.000126692,0.000126692
